Calories,Protein,Fats,Carbohydrates,StringId,EatenTimes
260,17.9,20.1,0,Брынза_из_коровьего_молока,0
51,5,1.5,3.5,Йогурт_нат_15proc_жирности,0
30,3,0.1,3.8,Кефир_нежирный,0
59,2.8,3.2,4.1,Кефир_жирный,0
58,2.8,3.2,4.7,Молоко,0
83,2.8,3.2,10.8,Молоко_ацидофильное,0
475,25.6,25,39.4,Молоко_сухое_цельное,0
135,7,7.9,9.5,Молоко_сгущеное,0
315,7.2,8.5,56,Молоко_сгущеное_с_сахаром,0
58,2.8,3.2,4.1,Простокваша,0
85,3,6,4.1,Ряженка,0
118,3,10,4,Сливки_10proc,0
205,2.8,20,3.6,Сливки_20proc,0
116,3,10,2.9,Сметана_10proc,0
206,2.8,20,3.2,Сметана_20proc,0
340,7.1,23,27.5,Сырки_и_масса_творожные_особые,0
371,23.4,30,0,Сыр_российский,0
361,26.8,27.3,0,Сыр_голландский,0
396,24.9,31.8,0,Сыр_швейцарский,0
334,26,26.5,0,Сыр_пошехонский,0
226,24,13.5,0,Сыр_плавленный,0
226,14,18,1.3,Творог_жирный,0
156,16.7,9,1.3,Творог_полужирный,0
86,18,0.6,1.5,Творог_нежирный,0
897,0,99.7,0,Жир_топленый,0
816,1.4,92.8,0,Шпик_свиной_без_шкурки,0
746,0.3,82.3,1,Маргарин_молочный,0
744,0.5,82,1.2,Маргарин_бутербродный,0
627,3.1,67,2.6,Майонез,0
899,0,99.9,0,Масло_растительное,0
748,0.6,82.5,0.9,Масло_сливочное,0
887,0.3,98,0.6,Масло_топленое,0
214,4.7,0.7,49.8,Хлеб_ржаной,0
254,7.7,2.4,53.4,Хлеб_пшен_из_муки_I_сорта,0
297,7.6,4.5,60,Сдобная_выпечка,0
312,10.4,1.3,68.7,Баранки,0
330,11,1.3,73,Сушки,0
331,11.2,1.4,72.4,Сухари_пшеничные,0
397,8.5,10.6,71.3,Сухари_сливочные,0
327,10.3,0.9,74.2,Мука_пшеничная_высш_сорта,0
329,10.6,1.3,73.2,Мука_пшеничная_I_сорта,0
328,11.7,1.8,70.8,Мука_пшеничная_II_сорта,0
326,6.9,1.1,76.9,Мука_ржаная,0
329,12.6,2.6,68,Гречневая_ядрица,0
326,9.5,1.9,72.2,Гречневая_продел,0
326,11.3,0.7,73.3,Манная,0
345,11.9,5.8,65.4,Овсяная,0
324,9.3,1.1,73.7,Перловая,0
334,12,2.9,69.3,Пшено,0
323,7,0.6,73.7,Рисовая,0
325,12.7,1.1,70.6,Пшеничная_Полтавская,0
357,12.2,5.8,68.3,Толокно,0
322,10.4,1.3,71.7,Ячневая,0
355,13.1,6.2,65.7,Геркулес,0
325,8.3,1.2,75,Кукурузная,0
24,0.6,0.1,5.5,Баклажаны,0
37,1.2,0.1,8.1,Брюква,0
72,5,0.2,13.3,Горошек_зеленый,0
27,0.6,0.3,5.7,Кабачки,0
28,1.8,0,5.4,Капуста_белокочанная,0
31,1.8,0,6.1,Капуста_краснокочанная,0
29,2.5,0,4.9,Капуста_цветная,0
83,2,0.1,19.7,Картофель,0
22,1.3,0,4.3,Лук_зеленый_перо,0
40,3,0,7.3,Лук_порей,0
43,1.7,0,9.5,Лук_репчатый,0
33,1.3,0.1,7,Морковь_красная,0
15,0.8,0,3,Огурцы_грунтовые,0
10,0.7,0,1.8,Огурцы_парниковые,0
23,1.3,0,4.7,Перец_зеленый_сладкий,0
27,1.3,0,5.7,Перец_красный_сладкий,0
45,3.7,0,8.1,Петрушка_зелень,0
47,1.5,0,11,Петрушка_корень,0
16,0.7,0,2.9,Ревень_черешковый,0
20,1.2,0,4.1,Редис,0
34,1.9,0,7,Редька,0
28,1.5,0,5.9,Репа,0
14,1.5,0,2.2,Салат,0
48,1.7,0,10.8,Свекла,0
19,0.6,0,4.2,Томаты_грунтовые,0
14,0.6,0,2.9,Томаты_парниковые,0
32,4,0,4.3,Зеленая_фасоль,0
71,2.5,0,16.3,Хрен,0
34,2.4,0,6.5,Черемша,0
106,6.5,0,21.2,Чеснок,0
21,2.9,0,2.3,Шпинат,0
28,1.5,0,5.3,Щавель,0
46,0.9,0,10.5,Абрикосы,0
38,0.6,0,8.9,Айва,0
34,0.2,0,7.4,Алыча,0
48,0.4,0,11.8,Ананас,0
91,1.5,0,22.4,Бананы,0
49,0.8,0,11.3,Вишня,0
52,0.9,0,11.8,Гранат,0
42,0.4,0,10.7,Груша,0
56,0.7,0,13.9,Инжир,0
45,1,0,9.7,Кизил,0
44,0.9,0,10.4,Персики,0
58,1.4,0,12.5,Рябина_садовая,0
54,1.5,0,12,Рябина_черноплодная,0
43,0.8,0,9.9,Слива_садовая,0
281,2.5,0,72.1,Финики,0
62,0.5,0,15.9,Хурма,0
52,1.1,0,12.3,Черешня,0
53,0.7,0,12.7,Шелковица,0
46,0.4,0,11.3,Яблоки,0
38,0.9,0,8.4,Апельсин,0
35,0.9,0,7.3,Грейпфрут,0
31,0.9,0,3.6,Лимон,0
38,0.8,0,8.6,Мандарин,0
40,0.7,0,8.6,Брусника,0
69,0.4,0,17.5,Виноград,0
37,1,0,7.7,Голубика,0
33,2,0,5.3,Ежевика,0
41,1.8,0,8.1,Земляника,0
28,0.5,0,4.8,Клюква,0
44,0.7,0,9.9,Крыжовник,0
41,0.8,0,9,Малина,0
31,0.8,0,6.8,Морошка,0
